  UID   PID  PPID   C STIME   TTY           TIME CMD
  501 48920     1   0 수04AM ??         0:10.83 /System/Library/PrivateFrameworks/TelephonyUtilities.framework/callservicesd
  501 48925     1   0 수04AM ??         0:01.43 /System/Library/CoreServices/Keychain Circle Notification.app/Contents/MacOS/Keychain Circle Notification
  501 48927     1   0 수04AM ??         0:05.33 /System/Library/CoreServices/CoreServicesUIAgent.app/Contents/MacOS/CoreServicesUIAgent
  501 48933     1   0 수04AM ??         0:24.90 /System/Library/CoreServices/talagentd
  501 48934     1   0 수04AM ??         0:11.12 /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/HIServices.framework/Versions/A/XPCServices/com.apple.hiservices-xpcservice.xpc/Contents/MacOS/com.apple.hiservices-xpcservice
  501 48961     1   0 수04AM ??         0:08.20 /usr/libexec/knowledge-agent
  501 49006     1   0 수04AM ??         0:01.59 /System/Library/PrivateFrameworks/Synapse.framework/Support/contentlinkingd
  501 52088     1   0 일03AM ??         3:38.87 /System/Library/Frameworks/Contacts.framework/Support/contactsd
  501 53026     1   0 일03AM ??         2:16.43 /Applications/Notion Calendar.app/Contents/MacOS/Notion Calendar --soft-quit-relaunch --soft-quit-relaunch --soft-quit-relaunch --soft-quit-relaunch --soft-quit-relaunch
  501 53031 53026   0 일03AM ??         0:24.37 /Applications/Notion Calendar.app/Contents/Frameworks/Notion Calendar Helper (GPU).app/Contents/MacOS/Notion Calendar Helper (GPU) --type=gpu-process --user-data-dir=/Users/dabin/Library/Application Support/Notion Calendar --gpu-preferences=UAAAAAAAAAAgAAAEAAAAAAAAAAAAAAAAAABgAAEAAAAAAAAAAAAAAAAAAAACAAAAAAAAAAAAAAAAAAAAAAAAABAAAAAAAAAAEAAAAAAAAAAIAAAAAAAAAAgAAAAAAAAA --shared-files --field-trial-handle=1718379636,r,12791925535946016697,14719757847376601188,262144 --enable-features=ScreenCaptureKitPickerScreen,ScreenCaptureKitStreamPickerSonoma --disable-features=MacWebContentsOcclusion,SpareRendererForSitePerProcess,TimeoutHangingVideoCaptureStarts --variations-seed-version --seatbelt-client=33
